8453,2022-04-06 23:59,eachday
2187,2020-09-02 4:00,
2195,2020-09-02 4:00,
2196,2020-09-02 4:00,
2197,2020-09-02 4:00,
2199,2020-09-02 4:00,
2504,2020-09-02 5:00,
2523,2020-12-23 4:00,
2189,2020-10-07 4:00,
2091,2020-10-07 4:00,
2080,2020-10-28 4:00,
2509,2021-04-07 4:00,
2505,2021-04-07 4:00,
2506,2021-04-07 4:00,
2507,2021-04-07 4:00,
2508,2021-04-07 4:00,
2222,2020-11-11 4:00,
2526,2020-11-25 4:00,
2527,2020-11-25 4:00,
2528,2020-11-25 4:00,
2556,2021-07-28 4:00,
8531,2021-08-11 4:00,
8524,2021-10-27 4:00,
2577,2021-09-23 4:00,
247,2021-09-23 4:00,
2633,2021-10-13 4:00,
2636,2021-12-01 4:00,
2561,2021-12-01 4:00,
2626,2021-12-15 4:00,
2649,2022-02-16 4:00,
2651,2022-04-06 4:00,
;2650,2022-03-10 4:00,
2617,2022-03-10 4:00,
2659,2022-03-10 4:00,
2524,2022-05-18 4:00,
2667,2022-05-18 4:00,
2624,2022-05-18 4:00,
2517,2022-06-02 4:00,


2670,2022-06-29 4:00,
2671,2022-06-29 4:00,
2672,2022-06-29 4:00,
2673,2022-06-29 4:00,
2674,2022-06-29 4:00,
2525,2022-07-13 4:00,
2593,2022-07-13 4:00,
2679,2022-08-10 4:00,
2618,2022-09-07 4:00,
2680,2022-09-07 4:00,
2668,2022-09-14 4:00,
;220921,,
2684,2022-10-05 4:00,

;221005,,
2640,2022-10-19 4:00,
;221019,,
2642,2022-11-02 4:00,
251,2022-11-02 4:00,
;221102,,
2634,2022-11-16 4:00,
;221116,,
2641,2022-11-30 4:00,
;221130,,


;221214,,

;221228,,
2612,2023-01-11 4:00,
2693,2023-02-08 4:00,

;230111

;230118
289,2023-03-02 4:00,
290,2023-03-02 4:00,
291,2023-03-02 4:00,
292,2023-03-02 4:00,
293,2023-03-02 4:00,
294,2023-03-02 4:00,
295,2023-03-02 4:00,
296,2023-03-02 4:00,


2608,2023-02-08 4:00,
2648,2023-03-02 4:00,

2616,2023-03-02 4:00,

;230208
174,2023-02-22 4:00,

;230222
;2620,2023-06-14 4:00,
;2563,2023-06-14 4:00,


;230322
2014,2023-04-05 4:00,
2015,2023-04-05 4:00,
2016,2023-04-05 4:00,
2514,2023-04-05 4:00,

;230405
;8312,2023-05-03 4:00,
2709,2023-04-19 4:00,


;230419
;우주의 별을 모아 보아요 이벤트의 별빛 상자
2712,2023-05-03 04:00,

;초월 프리미엄 해독기
;8293,2023-05-17 04:00,



;230517
;초월 프리미엄 해독기 
;8293,2023-06-14 04:00,

;230531
2516,2023-06-14 04:00,


;230614
8312,2023-07-12 04:00,
2620,2023-10-04 04:00,
2563,2023-10-04 04:00,


;230628
8114,2023-07-12 4:00,
2555,2023-07-12 4:00,

2530,2023-07-12 4:00,
2685,2023-08-09 4:00,
8578,2023-07-12 4:00,



;230712
;초월 프리미엄 해독기
8293,2023-08-09 04:00:00,
;데몰리션 코어
2720,2023-08-09 04:00:00,
;15000마일리지 지급권
2718,2023-08-09 04:00:00,
;초월 기간제 무기 상자
2722,2023-07-26 04:00:00,





;230726
;별의조각(23-2 에픽조각 공명의 조각)
2596,2023-09-06 04:00, 

;공명의 에너지 상자
2598,2023-09-06 04:00,

;희귀 아이템 상자
2623,2023-09-06 04:00,

;희귀 코스튬 선택 상자
2653,2023-09-06 04:00,

;업그레이드 무기 선택 상자.
2681,2023-09-06 04:00,

;크리스마스 무기 선택 상자.
2683,2023-09-06 04:00,

;골드 무기 선택 상자
2682,2023-09-06 04:00,

;코스튬 선택상자
2705,2023-09-06 04:00,

;초월 무기 선택 상자
2699,2023-09-06 04:00,

;유니크 무기 선택 상자
2621,2023-09-06 04:00,

;추억 시리즈 도색 도안 상자
2619,2023-09-06 04:00,

;오즈 시리즈 무기 세트
2654,2023-09-06 04:00,

;깨우침의 시리즈 무기 세트
2655,2023-09-06 04:00,

;라이트닝 시리즈 무기 세트
2656,2023-09-06 04:00,

;근하신년 동물 무기 세트
2657,2023-09-06 04:00,

;DESERT 무기 5종 선택 상자
2724,2023-09-06 04:00,

;물풍선 수류탄
8126,2023-08-23 04:00,

;에픽 해독기
2599,2023-09-06 04:00,

;1단계 에픽 해독기 10개 상자
2696,2023-09-06 04:00,

;2단계 에픽 해독기 10개 상자
2697,2023-09-06 04:00,

;3단계 에픽 해독기 30개 상자
2698,2023-09-06 04:00,

;4단계 에픽 해독기 30개 상자
2721,2023-09-06 04:00,


